side,price,size,time
buy,9028.99,0.0,2018-04-24T04:24:04.015Z
buy,9099.15,0.0015,2018-04-24T04:24:04.019Z
buy,9066.15,0.0015,2018-04-24T04:24:04.021Z
buy,9029.01,0.001,2018-04-24T04:24:04.023Z
buy,9126.01,0.13042,2018-04-24T04:24:04.053Z
buy,9197.37,0.0015,2018-04-24T04:24:04.064Z
buy,9132.01,0.0015,2018-04-24T04:24:04.070Z
buy,9099.15,0.0,2018-04-24T04:24:04.077Z
buy,9165.01,0.0015,2018-04-24T04:24:04.099Z
buy,9208.64,6.11595755,2018-04-24T04:24:04.122Z
buy,9126.01,0.14190999999999998,2018-04-24T04:24:04.125Z
sell,9224.94,0.03248062,2018-04-24T04:24:04.128Z
buy,9197.37,0.0,2018-04-24T04:24:04.150Z
buy,9193.71,0.0,2018-04-24T04:24:04.157Z
buy,9206.0,0.00257,2018-04-24T04:24:04.164Z
sell,9209.95,0.00125,2018-04-24T04:24:04.171Z
buy,9132.01,0.0,2018-04-24T04:24:04.175Z
buy,9165.01,0.0,2018-04-24T04:24:04.177Z
buy,9208.6,1.09412688,2018-04-24T04:24:04.179Z
buy,9197.63,2.346,2018-04-24T04:24:04.181Z
sell,9208.66,1.42432015,2018-04-24T04:24:04.183Z
buy,9099.15,0.0015,2018-04-24T04:24:04.187Z
sell,9213.6,1.08523,2018-04-24T04:24:04.189Z
buy,9066.15,0.0,2018-04-24T04:24:04.219Z
buy,9197.37,0.0015,2018-04-24T04:24:04.239Z
sell,9209.95,0.0,2018-04-24T04:24:04.249Z
buy,9132.01,0.0015,2018-04-24T04:24:04.267Z
buy,9099.15,0.0,2018-04-24T04:24:04.280Z
buy,9197.36,0.0,2018-04-24T04:24:04.287Z
buy,8890.0,3.18976643,2018-04-24T04:24:04.288Z
buy,9197.63,2.3609999999999998,2018-04-24T04:24:04.298Z
buy,9066.15,0.0015,2018-04-24T04:24:04.302Z
buy,9165.01,0.0015,2018-04-24T04:24:04.319Z
buy,9197.37,0.0,2018-04-24T04:24:04.378Z
buy,9197.63,2.346,2018-04-24T04:24:04.383Z
buy,9198.01,0.015,2018-04-24T04:24:04.391Z
buy,9132.01,0.0,2018-04-24T04:24:04.409Z
