side,price,size
sell,9268.52,0.0075
sell,9268.6,0.011
sell,9269,0.001
sell,9269.98,0.00276038
sell,9269.99,0.001
sell,9270,0.0191
sell,9270.03,0.0211
sell,9270.29,0.007
sell,9271,0.001
sell,9271.2,0.001
sell,9271.31,0.001
sell,9271.38,0.006
sell,9271.39,0.009
sell,9271.53,0.02966107
sell,9271.62,0.177
sell,9271.77,0.0296253
sell,9271.92,0.1
sell,9272,0.511
sell,9272.06,0.61360629
sell,9272.5,0.00790547
sell,9273,0.001
sell,9273.06,0.001
sell,9273.07,0.01656512
sell,9273.33,0.045
sell,9273.75,0.01
sell,9274,0.011
sell,9274.02,0.00275549
sell,9274.56,0.0151
sell,9274.72,0.111
sell,9274.99,0.011
sell,9275,0.51848304
sell,9275.1,0.00524986
sell,9275.15,0.12905
sell,9275.24,0.001
sell,9275.25,0.0685
sell,9275.38,0.001
sell,9275.39,0.001
sell,9275.62,0.057
sell,9276,0.1025
sell,9277,1.07232562
sell,9277.41,36.84
sell,9277.98,0.1490195
sell,9278,0.0088
sell,9278.18,0.0986
sell,9278.26,0.05
sell,9278.53,0.0075
sell,9278.83,0.02
sell,9279,0.008
sell,9279.21,0.0101
sell,9279.31,0.001
sell,9279.39,0.001
sell,9279.52,1.1
sell,9279.7,0.04
sell,9279.73,0.01140844
sell,9279.99,0.001
sell,9280,1.44815109
sell,9280.16,0.001
sell,9280.3,0.007
sell,9281,0.501
sell,9281.38,0.005
sell,9281.39,0.008
sell,9281.86,0.01656512
sell,9282,0.00759341
sell,9282.42,0.0059
sell,9282.85,5.855
sell,9283,0.501
sell,9283.39,0.001
sell,9283.63,0.007
sell,9283.99,0.01
sell,9284,0.25600788
sell,9284.52,0.00151112
sell,9284.91,0.0049
sell,9284.99,0.001
sell,9285,0.2882
sell,9285.63,0.07275617
sell,9286,0.001
sell,9286.54,0.92639213
sell,9286.9,0.00120019
sell,9287,0.81478955
sell,9287.31,0.001
sell,9287.38,0.001
sell,9287.39,0.001
sell,9287.87,1
sell,9287.96,0.28754508
sell,9288,1.755876
sell,9288.19,0.0197
sell,9288.2,0.001
sell,9288.54,0.0075
sell,9288.69,0.035
sell,9288.88,0.03229668
sell,9288.99,0.00100508
sell,9289,0.09998145
sell,9289.77,0.00666666
sell,9289.99,1.13005
sell,9290,32.12510391
sell,9290.31,0.007
sell,9290.65,0.51656512
sell,9290.71,0.005
sell,9290.98,0.04133073
sell,9291,0.001
sell,9291.38,0.006
sell,9291.39,0.009
sell,9291.58,0.00557
sell,9291.6,0.04483
sell,9291.64,0.017
sell,9291.93,0.07
sell,9292,0.001
sell,9292.13,0.001622
sell,9292.2,0.015
sell,9292.88,0.4522
sell,9292.95,0.01
sell,9293,0.001
sell,9294,0.001
sell,9294.14,0.00753109
sell,9294.3,0.06
sell,9294.4,0.001
sell,9294.6,0.03
sell,9294.99,0.001
sell,9295,0.28270554
sell,9295.1,0.001
sell,9295.11,0.0040695
sell,9295.91,0.00794082
sell,9296,0.002
sell,9296.79,0.01
sell,9297,1.954
sell,9297.21,0.05947227
sell,9297.25,0.00547779
sell,9297.31,0.001621
sell,9297.47,0.0054
sell,9297.7,0.0475083
sell,9298,1.33035596
sell,9298.28,0.1736953
sell,9298.29,0.01748431
sell,9298.54,0.31
sell,9298.55,0.0075
sell,9299,6.52397832
sell,9299.46,0.01656512
sell,9299.61,0.03
sell,9299.65,0.027
sell,9299.97,0.005
sell,9299.99,1.0208107
sell,9300,31.93104383
sell,9300.01,0.147571
sell,9300.22,0.001
sell,9300.32,0.007
sell,9300.77,0.01
sell,9300.9,0.02706186
sell,9301,0.001
sell,9301.1,0.03
sell,9301.39,0.007
sell,9301.4,0.061621
sell,9302,25.501
sell,9302.31,0.0213
sell,9302.4,0.00657895
sell,9303,0.001
sell,9303.14,0.56482586
sell,9304,0.169
sell,9304.46,0.083
sell,9304.62,0.03
sell,9304.85,0.12906
sell,9304.99,0.00100991
sell,9305,0.001
sell,9305.01,0.015
sell,9306,0.001
sell,9306.12,0.95821049
sell,9306.16,0.001
sell,9306.65,0.06
sell,9307,0.00211713
sell,9307.15,0.0211
sell,9307.17,0.392757
sell,9307.66,0.007
sell,9308,0.001
sell,9308.24,0.1
sell,9308.27,0.01656513
sell,9308.32,0.04894217
