side,price,size
buy,9066.59,0.0312
buy,9066.34,0.02
buy,9066,0.151
buy,9065.55,0.001541
buy,9065.2,0.93225985
buy,9065.15,0.001
buy,9065,2.001
buy,9064,0.001
buy,9063.22,0.1
buy,9063.15,0.001
buy,9063,0.001
buy,9062.87,0.072
buy,9062,0.001
buy,9061.28,0.04947902
buy,9061,0.051
buy,9060.97,0.03
buy,9060.2,0.08082189
buy,9060.13,0.001
buy,9060.12,0.36538861
buy,9060,7.7983073
buy,9059.58,0.002208
buy,9059.5,0.0015
buy,9059,0.061
buy,9058,0.8026643
buy,9057.88,0.03
buy,9057.6,0.02
buy,9057.46,0.01
buy,9057.14,0.23497914
buy,9057,0.011
buy,9056.98,0.02956957
buy,9056.73,0.02951265
buy,9056.66,0.05520799
buy,9056.64,1
buy,9056,0.411
buy,9055.55,0.487
buy,9055.33,0.001
buy,9055,7.54009901
buy,9054.53,0.5
buy,9054.31,0.007952
buy,9054,0.06414081
buy,9053.53,1
buy,9053.25,0.001
buy,9053.22,0.3
buy,9053,1.65976
buy,9052.17,0.1
buy,9052.09,0.33741518
buy,9052,0.268
buy,9051.88,0.05
buy,9051.51,0.19258411
buy,9051.34,26.74
buy,9051.1,0.2
buy,9051.09,0.001
buy,9051.01,0.1105
buy,9051,1.36868267
buy,9050.99,0.88388149
buy,9050.39,0.00267356
buy,9050.27,0.1523
buy,9050.23,0.015
buy,9050.01,0.03
buy,9050,16.73779488
buy,9049.99,0.0025
buy,9049.98,0.001
buy,9049.81,0.2
buy,9049.54,0.0025
buy,9049,3.22805157
buy,9048.84,4.78363455
buy,9048.08,0.077
buy,9048,0.13
buy,9047,0.1
buy,9046.46,0.01
buy,9046.38,0.0052848
buy,9046.13,0.001
buy,9046,0.001
buy,9045.46,0.01
buy,9045,0.26394627
buy,9044.78,0.03
buy,9044.44,0.7
buy,9044,1.09771585
buy,9043.69,0.00123
buy,9043.13,0.001
buy,9042.49,0.20187028
buy,9042.42,0.04944594
buy,9042.39,0.03
buy,9042.07,0.02
buy,9041.21,0.001
buy,9041,0.03
buy,9040.72,1.692
buy,9040.1,0.25
buy,9040.07,0.05
buy,9040,0.63149719
buy,9039.08,0.00267355
buy,9039,0.18
buy,9038,0.253
buy,9037.77,0.05532338
buy,9037.64,0.05
buy,9037.55,1
buy,9037.38,0.002716
buy,9037.37,0.11
buy,9037.11,0.001
buy,9037.1,0.0025
buy,9037,0.011
buy,9036.72,2.66030963
buy,9036,0.355
buy,9035,0.051
buy,9034.49,0.00895008
buy,9034.12,0.42915082
buy,9034,0.001
buy,9033,0.77687222
buy,9032.31,0.083
buy,9032.02,0.33
buy,9032,0.161
buy,9031.15,0.001
buy,9031,0.151
buy,9030.02,0.02
buy,9030,0.44714426
buy,9029,0.056
buy,9028.74,0.02
buy,9028.59,0.02
buy,9028,0.171
buy,9027.78,0.00267339
buy,9027.11,0.001
buy,9027,0.221
buy,9026.86,19.4
buy,9026.84,0.03
buy,9026.1,0.40742101
buy,9026,0.121
buy,9025.01,0.03
buy,9025,0.327
buy,9024.98,0.001
buy,9024,0.011
buy,9023.82,0.00528236
buy,9023.75,8
buy,9023.07,0.04659
buy,9023,0.011
buy,9022,0.098
buy,9021.83,0.05
buy,9021,0.651
buy,9020.18,0.001013
buy,9020,1.64147255
buy,9019.86,0.1
buy,9019.38,0.003
buy,9019.37,0.003
buy,9019.36,0.002
buy,9019.09,0.001
buy,9019,2.751
buy,9018.88,0.05543925
buy,9018.23,0.3
buy,9018.12,0.1
buy,9018,0.0122
buy,9017.32,0.60469667
buy,9017.1,1.494
buy,9017.02,0.21
buy,9017,0.001
buy,9016.5,0.00531755
buy,9016.2,0.01
buy,9016,1.011
buy,9015.88,0.05
buy,9015.55,10
buy,9015.44,0.03
buy,9015.38,0.083
buy,9015.33,0.0075
buy,9015.24,0.00561032
buy,9015.05,0.001
buy,9015,0.6321
buy,9014.48,0.10113728
buy,9014.44,2.31829412
buy,9014,0.001
buy,9013.11,0.00818597
buy,9013.02,0.015
buy,9013,0.001
buy,9012.51,0.40745143
buy,9012.07,0.001
buy,9012,0.031
buy,9011.5,0.02968728
buy,9011.01,0.127323
buy,9011,0.8842316
buy,9010.95,0.01
buy,9010.01,0.1
buy,9010,15.11696622
buy,9009.79,0.00221271
buy,9009.67,0.02200254
buy,9009.41,0.41834421
buy,9009,1.011
buy,9008.88,0.25
buy,9008.15,0.001
buy,9008.1,0.26
buy,9008,2.001
buy,9007,0.011
buy,9006.37,0.243
buy,9006,0.011
buy,9005.5,1
buy,9005.23,0.001
buy,9005,1.001
buy,9004.19,0.001
buy,9004,0.001
buy,9003.98,0.23257158
buy,9003,0.001
buy,9002.79,0.02975081
buy,9002.58,0.70294085
buy,9002.19,0.00553485
buy,9002.09,0.1
buy,9002.01,0.1111
buy,9002,0.042
buy,9001.99,1.06901696
buy,9001.74,0.54267657
buy,9001.49,0.22219612
buy,9001.27,0.00527827
buy,9001.1,0.04
buy,9001.07,0.001
buy,9001.01,0.15
buy,9001,5.48504698
buy,9000.8,1.57955586
buy,9000.77,0.01
buy,9000.1,0.05
buy,9000.01,0.2090091
buy,9000,53.72788965
buy,8999.99,0.2
buy,8999.69,0.0069
buy,8999.23,0.001
buy,8999,0.24890665
buy,8998.5,0.083
buy,8998.26,0.01116689
buy,8998,0.11049767
buy,8997,0.001
buy,8996.54,0.03
buy,8996.07,0.001
buy,8996,0.251
buy,8995.99,1.00103782
buy,8995.54,0.2
buy,8995.19,0.001
buy,8995.15,0.00111171
buy,8995,0.40433666
buy,8994,0.001
buy,8993.99,0.0025
buy,8993.97,0.00266183
buy,8993,0.001
buy,8992.97,0.023
buy,8992,0.001
buy,8991.44,0.0342
buy,8991,1.001
buy,8990,0.087
buy,8989.97,0.01
buy,8989.89,0.11748354
buy,8989.59,0.12883701
buy,8989.08,0.03
buy,8989,0.001
buy,8988.88,0.05
buy,8988.19,0.001
buy,8988,0.041
buy,8987.73,1.03370804
buy,8987,0.131
buy,8986,0.001
buy,8985.57,0.25
buy,8985.36,0.34937175
buy,8985.13,0.03
buy,8985.01,0.1
buy,8985,0.001
buy,8984.17,0.001
buy,8984,0.011
buy,8983.97,0.03
buy,8983.88,0.006332
buy,8983.23,0.3
buy,8983,0.01205755
buy,8982.73,0.00266551
buy,8982,0.001
buy,8981,0.001
buy,8980.51,0.19495987
buy,8980.19,0.001
buy,8980,19.53809975
buy,8979.76,0.00339095
buy,8979.66,0.05
buy,8979.44,0.04
buy,8979,0.001
buy,8978.69,0.00530836
buy,8978,1
buy,8977.7,0.006
buy,8977.32,0.00109442
buy,8977,0.05
buy,8976,1.02
buy,8975.96,1
buy,8975.01,0.03
buy,8975,5.22471614
buy,8974.91,0.01
buy,8974.7,0.03
buy,8974,0.03936372
buy,8973.97,0.04721945
buy,8973.87,1.69827565
buy,8973.79,18.82
buy,8973.5,0.00618308
buy,8973.13,0.001
buy,8973,0.006
buy,8972.56,0.0015809
buy,8972,0.001
buy,8971.5,0.00266757
buy,8971.38,0.04
buy,8971,0.001
buy,8970.51,0.4
buy,8970,0.02701086
buy,8969,0.001
buy,8968.99,0.008
buy,8968.46,0.05
buy,8968,0.001
buy,8967.03,0.015
buy,8967,0.001
buy,8966.36,0.0069
buy,8966.17,0.001
buy,8966,0.051
