side,price,size
buy,9538.11,0.2
buy,9537.91,0.1435
buy,9537.75,0.001
buy,9537.61,0.00608118
buy,9537,0.04
buy,9536.77,0.001
buy,9536.1,0.01468
buy,9536.08,0.00613459
buy,9536,0.010718
buy,9535.85,0.001
buy,9535.61,0.001
buy,9535.32,0.87879025
buy,9535.01,10
buy,9535,0.08491309
buy,9534.11,0.001
buy,9534,0.03
buy,9533.47,0.001
buy,9533.1,0.03
buy,9533,0.7
buy,9532.99,0.03
buy,9532.72,0.00758506
buy,9532.69,0.00259067
buy,9532.11,0.001
buy,9532,0.05
buy,9531.91,0.001
buy,9531.86,0.00920349
buy,9530.93,0.1
buy,9530.61,0.002
buy,9530.5,0.00629557
buy,9530,0.1636
buy,9529.7,1.6
buy,9529,1.0894728
buy,9528,1.5629597
buy,9527.87,0.0529401
buy,9527,5.0507
buy,9526.69,0.001
buy,9526.65,0.00289647
buy,9525.61,0.001
buy,9525.5,0.55
buy,9525.01,0.101
buy,9525,1.03604004
buy,9524.89,1
buy,9524,0.01
buy,9523.8,0.0112117
buy,9523.04,0.025
buy,9522.2,0.02
buy,9522,0.021
buy,9521.97,0.73829772
buy,9521.45,0.001
buy,9521.24,0.50330486
buy,9521.2,0.064
buy,9521,0.1
buy,9520.79,0.001
buy,9520.74,0.00961459
buy,9520.61,0.001
buy,9520.01,0.001
buy,9520,3.63727815
buy,9519.66,0.0136
buy,9518.47,0.0979231
buy,9518.18,0.108
buy,9518,0.28268789
buy,9517.51,0.086
buy,9517.35,0.001
buy,9517.07,0.05081789
buy,9515.75,0.0025
buy,9515.61,0.251
buy,9515.01,0.001
buy,9515,0.86887807
buy,9514.98,0.56542167
buy,9514.86,0.05140774
buy,9514.74,0.0124208
buy,9514.43,0.1
buy,9514,0.145
buy,9513.46,0.00876804
buy,9513.1,0.2
buy,9513,0.0025
buy,9512.71,0.446216
buy,9512,0.01
buy,9511.88,0.05
buy,9511.78,0.01
buy,9511.58,0.011
buy,9511.03,0.00636103
buy,9511,1.8
buy,9510.77,0.0093612
buy,9510.61,0.001
buy,9510.01,0.001
buy,9510,3.03399564
buy,9509.83,0.0095436
buy,9509.65,0.01
buy,9509.45,1.833
buy,9509.02,0.0105
buy,9509,0.135
buy,9508.6,0.00954352
buy,9508.16,0.00925966
buy,9508,0.01128925
buy,9507.66,0.0195231
buy,9507.01,0.001
buy,9506.91,0.01872423
buy,9506.76,0.00850544
buy,9506.27,0.00780251
buy,9506.07,0.00919998
buy,9506,1.28201733
buy,9505.82,0.02
buy,9505.81,0.001
buy,9505.61,0.001
buy,9505.55,0.05
buy,9505.01,0.001
buy,9505,1.41296504
buy,9504.64,0.1
buy,9504.42,0.05441727
buy,9504.35,0.4946202
buy,9503.32,0.01
buy,9503,0.4215
buy,9502.85,0.00290585
buy,9502.71,0.04577
buy,9502.52,0.06
buy,9502.22,0.0143
buy,9502,17.02439066
buy,9501.55,0.01
buy,9501.5,1
buy,9501.48,0.00942305
buy,9501.29,4.735
buy,9501.09,0.031651
buy,9501.01,0.50599
buy,9501,2.7479961
buy,9500.99,0.015
buy,9500.78,0.00642052
buy,9500.61,0.001
buy,9500.6,0.035
buy,9500.38,0.5
buy,9500.3,0.0296324
buy,9500.1,0.101
buy,9500.01,1.05
buy,9500,44.01150349
buy,9499.9,0.05
buy,9499.75,0.001
buy,9499.64,0.0086
buy,9499,0.56264192
buy,9498,0.051
buy,9496.51,0.01
buy,9495.61,0.001
buy,9495,0.01
buy,9494.77,0.75
buy,9492,0.5
buy,9491.9,0.00353
buy,9491.39,0.001
buy,9491.29,0.05345352
buy,9491.11,0.001
buy,9490.97,0.00290722
buy,9490.39,0.00815554
buy,9490,0.67451664
buy,9489.13,1
buy,9488.78,0.001
buy,9488.01,1.04
buy,9488,0.24
buy,9487.14,0.0734166
buy,9487.08,0.00934368
buy,9487,1.12960828
buy,9486,0.62864089
buy,9485,1.0035
buy,9484.18,8.68169999
buy,9484,1
buy,9483.53,0.001
buy,9482.99,0.0129
buy,9482.77,0.00959847
buy,9482.74,0.06
buy,9482,0.1
buy,9481.49,0.00455203
buy,9481,0.79289025
buy,9480.14,1
buy,9480,12.3578682
buy,9479.55,0.02112549
buy,9479.5,1
buy,9479.11,0.1029106
buy,9479.07,0.01
buy,9479,5
buy,9478.98,0.03
buy,9478,0.17050749
buy,9477.97,0.01141216
buy,9477.2,0.0116
buy,9476.5,2.01
buy,9476,0.0577
buy,9475.84,0.01
buy,9475.57,0.001
buy,9475.47,0.04696
buy,9475,1.27759017
buy,9474.67,0.01
buy,9474.33,0.001
buy,9474,0.5
buy,9472.72,0.00316699
buy,9471.73,0.00659857
buy,9471.58,0.25
buy,9471,0.005
buy,9470.2,0.05778049
buy,9470.01,0.1056
buy,9470,1.92996753
buy,9469.64,0.002
buy,9469.61,0.001
buy,9469.58,0.0022
buy,9469.39,0.00875231
buy,9469.11,6.0405
buy,9469,0.109
buy,9468.87,0.1
buy,9468.8,0.02
buy,9468.4,0.1
buy,9468,1.35
buy,9467.68,0.12496
buy,9467.16,0.00649613
buy,9467,0.09
buy,9466.63,0.001
buy,9466.31,0.0086
buy,9466,0.22
buy,9465.95,0.00654979
buy,9465.12,0.3124
buy,9465,7.31665318
buy,9464.8,0.59
buy,9464.37,0.00670937
buy,9463.41,0.18
buy,9463,0.01
buy,9462.79,0.001
buy,9462.72,0.03
buy,9462.57,0.015
buy,9462.35,0.015
buy,9462,0.0202
buy,9461.92,0.001
buy,9461,6.757794
buy,9460.82,0.18350803
buy,9460.6,0.09983511
buy,9460,0.86779925
buy,9459.93,0.005
buy,9459.48,0.02
buy,9459.11,1.70687
buy,9459.07,0.001
buy,9459,0.02031282
buy,9458.54,0.009
buy,9458.42,0.50174569
buy,9458,0.32114
buy,9457.58,0.025308
buy,9457.25,0.01
buy,9457,2.36354365
buy,9456.45,0.003
buy,9456.37,0.001
buy,9456.34,0.06
buy,9456,0.115
buy,9455.81,0.1
buy,9455.55,0.4
buy,9455.03,0.02284
buy,9455,2.65702986
buy,9454.11,0.01
buy,9454.04,0.00105775
buy,9453.64,0.001266
buy,9453.53,0.05882406
buy,9453.49,1.12119332
buy,9453.36,0.06
buy,9453.24,0.00677016
buy,9453.23,0.51
buy,9453,0.2668
buy,9452,0.25
buy,9451.88,0.25
buy,9451.71,0.0122
buy,9451.37,0.06249993
buy,9451.21,0.1
buy,9451.1,0.22
buy,9451.01,0.001
buy,9451,2.03418
buy,9450.92,0.3
buy,9450.03,0.5
buy,9450,14.65925809
buy,9449.81,0.21164447
buy,9449.49,0.0184
buy,9449.25,0.001
buy,9449,0.045
buy,9448.4,0.02
buy,9448.22,0.0015
buy,9448.02,0.001
buy,9447.96,0.001
buy,9447.21,0.2
buy,9447,0.031756
buy,9446.15,0.00344058
buy,9446.01,0.001
buy,9445.99,0.01
buy,9445.73,0.001
buy,9445.39,0.00812028
buy,9445,0.08850127
buy,9444.73,0.02055212
buy,9444.49,0.03
buy,9444.39,0.12375583
buy,9444,1
buy,9443.61,0.10307044
buy,9443.23,0.5
buy,9442.73,0.001
buy,9442.42,0.05
buy,9442.38,0.0211811
buy,9441.49,0.001
buy,9441.01,0.001
buy,9441,0.03783628
buy,9440.67,0.001
buy,9440.56,0.02015842
buy,9440.01,0.0324
buy,9440,0.03255593
buy,9438.05,0.0066751
buy,9438,0.0158932
buy,9437.77,0.06
buy,9436.83,0.001
buy,9436.01,0.001
buy,9436,0.29632124
buy,9435,0.065
buy,9434,0.208
buy,9433.23,0.5
buy,9433,0.7
buy,9432.98,0.0086
buy,9432.75,0.04267487
buy,9432.51,0.02
buy,9432.12,0.1
buy,9431.9,0.06
buy,9431.43,0.001
buy,9431.01,0.001
buy,9431,1.725
buy,9430.75,0.001
buy,9430.01,0.012
buy,9430,0.1621
buy,9429.54,0.0175
buy,9429.51,0.12008578
buy,9429.25,0.4
buy,9429,0.45
buy,9428.57,0.1
buy,9428,0.0362
buy,9427,0.2
buy,9426.65,0.02
buy,9426.01,0.001
buy,9426,0.52
buy,9425.99,0.01
buy,9425.5,0.15
buy,9425.28,0.02122016
buy,9425.1,0.2
buy,9425.01,0.0639285
buy,9425,1.264
buy,9424.54,1
buy,9424.48,0.0030865
buy,9424.14,0.015
buy,9424,0.2
buy,9423.97,0.001
buy,9423.55,0.00684455
buy,9423.23,0.522
buy,9423,0.52
buy,9422.37,5
buy,9422.2,0.02
buy,9422,1
buy,9421.43,0.00731297
buy,9421.01,0.001
buy,9421,0.38031284
buy,9420.01,0.002
buy,9420,1.42751745
buy,9419.83,0.00778923
buy,9419.45,0.001
buy,9419,0.3
buy,9418,0.0017
buy,9417.32,0.11
buy,9415.88,0.25
buy,9415.14,0.00929795
buy,9415.01,0.002
buy,9415,0.7
buy,9414.63,0.03
buy,9414.53,0.001
buy,9414.4,0.002
buy,9414,0.2
buy,9413.95,0.007
buy,9413.56,0.01136549
buy,9413.23,0.5
buy,9413,0.21182726
buy,9412,1.22081842
buy,9411,1.04110885
buy,9410.45,0.18541977
buy,9410.37,0.15001849
buy,9410.05,0.00785
buy,9410.01,0.003
buy,9410,0.06637486
buy,9409.63,0.001
buy,9409.41,0.415
buy,9409.14,0.00948298
buy,9409,0.6
buy,9408.74,0.02104544
buy,9408.59,0.02120402
buy,9408.32,0.5
buy,9408,0.51362522
buy,9407.11,1
buy,9407,0.16301544
buy,9406.5,0.003
buy,9406,0.02
buy,9405.99,0.01
buy,9405.01,0.002
buy,9405,1.7
buy,9404.7,1.63599582
buy,9404.45,0.001
buy,9404.36,0.0015
buy,9404,0.71225904
buy,9403.43,0.0022
buy,9403.23,0.5
buy,9403,0.21
buy,9402.32,0.00691318
buy,9402.2,0.1003
buy,9402.06,0.25
buy,9402,0.242
buy,9401.52,0.001
buy,9401.42,0.05561702
buy,9401.12,0.04
buy,9401.1,0.2
buy,9401,3.73537362
buy,9400.99,0.01
buy,9400.83,0.001041
buy,9400.7,0.00208072
buy,9400.57,0.001
buy,9400.54,0.02969126
buy,9400.51,0.001
buy,9400.38,0.5
buy,9400.1,0.101
buy,9400.03,0.00303
buy,9400.01,0.553
buy,9400,20.13539217
buy,9399.99,0.5586
buy,9399.89,0.023
buy,9399.65,0.0086
buy,9399.5,1.5
buy,9399.32,0.066494
buy,9399,0.092316
buy,9398.55,0.01853589
buy,9398.33,0.061
buy,9395.01,0.082
buy,9395,0.03224983
buy,9394.03,0.05309222
buy,9393.83,0.06
buy,9393.73,0.005
buy,9393.23,0.5
buy,9392.52,1
buy,9392,0.5
buy,9391.3,0.15
buy,9391,0.02
buy,9390.45,0.001
buy,9390.24,0.1722
buy,9390.01,0.003
buy,9390,10.93971649
buy,9389.42,0.30161618
buy,9389,0.6062733
buy,9388.97,0.69
buy,9388.88,0.55
buy,9388,2.6
buy,9386.13,0.03
buy,9386,0.55
buy,9385.75,0.001
buy,9385.72,0.015
buy,9385.12,0.28
buy,9385.01,0.002
buy,9385,4
buy,9384.74,0.00459896
buy,9384,0.08
buy,9383.23,0.5
buy,9383.19,0.12
buy,9383.03,0.005
buy,9383.02,0.18
buy,9383,0.0014028
buy,9382.99,0.0106865
buy,9382.42,0.00213165
buy,9382,0.53
buy,9381.54,0.06
buy,9381.18,0.01117534
buy,9380.21,0.025
buy,9380.01,0.003
buy,9380,1.40187367
buy,9379.99,0.1206
buy,9379.49,0.001
buy,9379.02,0.99
buy,9378.97,0.01246489
buy,9378,0.595
buy,9377.89,0.1
buy,9377.47,5.1525518
buy,9377.36,0.122
buy,9377.35,0.015
buy,9377,0.0511
buy,9376,6.2866
buy,9375.97,0.001
buy,9375.43,0.081
buy,9375.14,0.63718943
buy,9375.01,0.001
buy,9375,5.24244437
