side,price,size,time
buy,9088.1,0.0015,2018-04-24T04:07:48.335Z
buy,9055.1,0.0015,2018-04-24T04:07:48.340Z
buy,9121.1,0.0015,2018-04-24T04:07:48.383Z
buy,9055.1,0.0,2018-04-24T04:07:48.392Z
buy,9153.35,0.0015,2018-04-24T04:07:48.401Z
buy,9187.11,0.0015,2018-04-24T04:07:48.446Z
buy,9153.35,0.0,2018-04-24T04:07:48.472Z
buy,9088.1,0.0,2018-04-24T04:07:48.496Z
buy,9121.1,0.0,2018-04-24T04:07:48.498Z
buy,9187.11,0.0,2018-04-24T04:07:48.537Z
buy,9055.1,0.0015,2018-04-24T04:07:48.558Z
buy,9153.35,0.0015,2018-04-24T04:07:48.572Z
buy,9187.11,0.0015,2018-04-24T04:07:48.584Z
buy,9153.35,0.0,2018-04-24T04:07:48.603Z
buy,9088.1,0.0015,2018-04-24T04:07:48.631Z
sell,9227.44,0.0,2018-04-24T04:07:48.633Z
sell,9227.69,0.5,2018-04-24T04:07:48.655Z
buy,9187.11,0.0,2018-04-24T04:07:48.656Z
buy,9121.1,0.0015,2018-04-24T04:07:48.679Z
sell,9227.69,0.0,2018-04-24T04:07:48.712Z
buy,9207.73,0.0,2018-04-24T04:07:48.713Z
buy,9153.35,0.0015,2018-04-24T04:07:48.722Z
sell,9231.2,0.0,2018-04-24T04:07:48.724Z
sell,9227.44,0.5,2018-04-24T04:07:48.730Z
buy,9121.1,0.0,2018-04-24T04:07:48.731Z
buy,9187.11,0.0015,2018-04-24T04:07:48.760Z
sell,9222.5,0.00113825,2018-04-24T04:07:48.785Z
buy,9153.35,0.0,2018-04-24T04:07:48.805Z
buy,9121.1,0.0015,2018-04-24T04:07:48.831Z
buy,9187.11,0.0,2018-04-24T04:07:48.852Z
buy,9175.78,6.4,2018-04-24T04:07:48.864Z
buy,9193.46,0.01,2018-04-24T04:07:48.865Z
buy,9193.01,0.015,2018-04-24T04:07:48.875Z
buy,9153.35,0.0015,2018-04-24T04:07:48.885Z
buy,9055.1,0.0,2018-04-24T04:07:48.960Z
buy,9121.1,0.0,2018-04-24T04:07:49.004Z
