side,price,size
sell,9786.21,0.01363341
sell,9786.66,0.001
sell,9786.72,0.00102588
sell,9786.96,7.48160822
sell,9786.99,0.0015
sell,9787,1.53
sell,9787.04,0.76747
sell,9787.08,0.32
sell,9787.98,0.019
sell,9787.99,0.031
sell,9788,2.64987664
sell,9788.14,0.004
sell,9788.28,0.002
sell,9788.68,0.038
sell,9788.88,0.03064702
sell,9789,0.51981501
sell,9789.06,0.001
sell,9789.08,0.003
sell,9789.15,0.47577793
sell,9789.27,0.00585
sell,9789.28,0.00392
sell,9789.32,0.267
sell,9789.66,0.001
sell,9789.95,0.105
sell,9789.97,0.01363341
sell,9789.99,0.021
sell,9790,7.177879
sell,9790.09,0.09875
sell,9790.13,0.01
sell,9790.77,0.37837057
sell,9790.82,0.00102545
sell,9790.94,0.05
sell,9790.95,0.01
sell,9790.99,0.0015
sell,9791,5
sell,9791.26,0.002524
sell,9791.56,0.0093539
sell,9791.96,2.535
sell,9791.99,0.031
sell,9792,0.00625
sell,9792.14,0.004
sell,9792.28,0.002
sell,9792.29,0.00409831
sell,9792.66,0.501
sell,9792.71,0.01
sell,9793,0.11
sell,9793.08,0.003
sell,9793.48,0.015
sell,9793.73,0.01363341
sell,9793.77,0.65814988
sell,9793.78,0.00102514
sell,9793.92,0.01065781
sell,9794,1.815
sell,9794.42,0.05
sell,9794.43,0.02215776
sell,9794.48,0.02435
sell,9794.98,0.25990565
sell,9794.99,0.55080485
sell,9795,2.25527646
sell,9795.13,0.97990375
sell,9795.41,1.58659279
sell,9795.45,0.43907577
sell,9795.52,0.001
sell,9795.54,0.288
sell,9795.61,0.036
sell,9795.62,0.0211
sell,9795.66,0.101
sell,9795.99,0.031
sell,9796,0.26003
sell,9796.03,0.2
sell,9796.14,0.004
sell,9796.28,0.003
sell,9796.56,0.00102485
sell,9796.7,0.00961712
sell,9796.99,0.01979741
sell,9797,3.81332111
sell,9797.01,0.05
sell,9797.08,0.0015
sell,9797.5,0.01363341
sell,9797.62,0.00105187
sell,9797.74,0.1
sell,9797.91,0.1
sell,9797.97,0.059258
sell,9798,2.1677639
sell,9798.02,1.073
sell,9798.28,0.1298734
sell,9798.49,0.30717072
sell,9798.66,0.001
sell,9798.8,3.4
sell,9798.89,0.05395848
sell,9798.97,1.1
sell,9798.99,0.1115
sell,9799,2.91167311
sell,9799.05,0.1
sell,9799.07,0.01327956
sell,9799.33,0.00939
sell,9799.48,0.001
sell,9799.5,0.01
sell,9799.55,1.04
sell,9799.71,0.00222452
sell,9799.89,0.05
sell,9799.95,0.15
sell,9799.97,0.93531869
sell,9799.98,1
sell,9799.99,32.01038362
sell,9800,123.55044088
sell,9800.01,0.03745225
sell,9800.1,0.011
sell,9800.14,0.001
sell,9800.28,0.002
sell,9800.46,0.01
sell,9800.64,0.0279839
sell,9800.79,0.00122335
sell,9800.82,0.007
sell,9800.95,0.01
sell,9800.99,0.704908
sell,9801,1.30759812
sell,9801.01,0.32374756
sell,9801.08,0.0085
sell,9801.1,0.001
sell,9801.26,0.01363341
sell,9801.4,0.002
sell,9801.66,0.001
sell,9801.76,0.06
sell,9801.98,0.009
sell,9802,0.11
sell,9802.05,34.4
sell,9802.2,0.01
sell,9802.33,0.025
sell,9802.88,0.051
sell,9802.9,0.3
sell,9802.99,0.0015
sell,9803.3,0.001
sell,9803.35,0.00102414
sell,9803.47,0.03
sell,9803.48,0.015
sell,9803.72,0.01981141
sell,9803.99,0.031
sell,9804.01,0.05
sell,9804.06,0.00552179
sell,9804.14,0.001
sell,9804.28,0.002
sell,9804.52,0.28629
sell,9804.54,0.02967037
sell,9804.58,0.001
sell,9804.66,0.001
sell,9804.78,0.001
sell,9804.88,0.06522859
sell,9804.89,0.02
sell,9804.98,0.0065
sell,9805,4.7883654
sell,9805.03,0.01363341
sell,9805.08,0.0085
sell,9805.13,0.03070751
sell,9805.21,0.00973521
sell,9805.36,0.00102393
sell,9805.58,0.00894746
sell,9805.75,1
sell,9805.92,0.007
sell,9805.95,0.00166399
sell,9806,0.0402816
sell,9806.55,0.00152959
sell,9806.75,0.00985389
sell,9806.99,0.0015
sell,9807,0.06683821
sell,9807.34,0.025
sell,9807.66,0.001
sell,9807.84,0.00884
sell,9807.99,0.031
sell,9808,0.07
sell,9808.14,0.001
sell,9808.21,0.07123153
sell,9808.28,0.002
sell,9808.44,0.003
sell,9808.48,0.03
sell,9808.52,0.007198
sell,9808.54,0.001
sell,9808.76,0.01
sell,9808.79,0.01
sell,9808.8,0.01363341
sell,9808.82,0.1
sell,9808.84,0.00980087
sell,9808.98,0.009
sell,9809,1.42513355
sell,9809.06,0.015
sell,9809.08,0.0085
sell,9809.14,0.002
sell,9809.99,0.001
sell,9810,2.04426516
sell,9810.65,0.00956004
sell,9810.66,0.001
sell,9810.83,0.007
sell,9811,1.65321457
sell,9811.02,0.00289948
sell,9811.08,0.02
sell,9811.23,5.0101779
sell,9811.41,0.002
sell,9811.5,0.33
sell,9811.78,0.0019
sell,9811.99,0.03282175
sell,9812,0.03672646
sell,9812.14,0.001
sell,9812.27,0.0015
sell,9812.28,0.00307094
